latitude,longitude,place
36.7783,-119.4179,California
47.7511,-120.7401,Washington
19.8968,-155.5828,Hawaii
32.1656,-82.9001,Georgia
40.7128,-74.006,New York
42.3601,-71.0589,Boston
25.7617,-80.1918,Miami
37.8044,-122.2712,Oakland
